Title,Abstract
"#30-20 Красов, Песня, 1838","прочь , прочь , ни слово ! || не будить , что быть : || не ты — другой || в жизнь я любить … || мой ангел милый — || он не дышать боле ; || он лежать в могила || на кровавый поле . || увянуть младость ! || таков ль быть я ? || ах , на что я радость ! || и зачем живой я ! .. || лишь он дышать , || лишь он клясться ; || с он я все узнать … || и как жизнь нестись ! || в тень черешня , || в тишина глубокий , || кто так быть утешить || на грудь высокий ? || наш край спасать , || но таить разлука , || он стоять , рыдать , — || молча сжать я рука . || прочь , прочь , ни слово ! || не будить , что быть ! || не ты — другой || в жизнь я любить ! ||"
"#30-21 Ниркомский, Матушка, 1838","« матушка , голубушка , || солнышко мой ! || пожалеть , родимый , — || я — дитя твой ! || словно змея лютый || так грудь и сосать || и целый ноченька || я спать не давать . || все я что-то грезиться , || будто наяву , || уж когда ложиться я , || молитва творить , || то залетный пташечка || песенка слышный , — || сердце замирать , || так сладкий она ! || то я что-то видеться , || разметаться я ; || сердечко встосковаться — || в огонь лежать я ! || ни игра , забавушка || не веселый я : || все тоска - кручинушка || въяве и в сон . || что это , родимушка , || статься с я ? || стать , приключиться я || злой недуг какой ? || али нет , родимый , || зелье пособить ? » || — « знать , приспеть , дитятко , || времечко любить ! » ||"
"#30-22 Кольцов, Русская песня, 1838","в поле ветер веять , || травка колыхать , || путь , мой дорога || пыль покрывать . || выходить же ты , туча , || с страшный гроза , || обойти свет белый , || закрыть темнота . || молодец удалый || соловей засвистать ! || без путь ― без свет || свой доля сыскать . || что он дорога ! || туча громовой ! || как прийти по сердце ― || око голубой ! || что он на свет || доля не людской , || когда он любить ― || она , молодой ! ||"
"#30-23 Жуковский, К сестрам и братьям, 1838","рано от печальный || жизнь вы сокрыться . || но об вы ли плакать ? || вы давно в могила || сон спокойный спать . || вы , друг , в лицо я || прежде не видать , || вы в печальный жизнь || вечно я не встретить . || но за вы сердце || я из жизнь рваться ; || и глубоко в сердце || слышаться я голос : || все , я говорить он , || живой здесь любовь ; || она к мы нисходить || наш создатель с небо , || и к он на небо || она мы восходить . ||"
"#30-24 Шахова, Песня, 1838","не любить , подруженька , || чародейный свет , || мой послушать , милый , || искренний совет : || светский веселость || душа не пленить , || радость семейный || с небо они дружить . || не хвалиться ловитва || суетный сердце , || предпочесть лавровый || миртовый венец . || жизнь ты ненадолго || вольный дать , || для чужой счастие || жить ты создать . || для приветствие суетный || искра чувство не трать , || беречься священный || прах рассыпать ! || мало встретить радость , || кто любить свет ; || ты же быть счастливый : || помнить мой совет . ||"
"#30-25 Горчаков, К друзьям, 1839","весело нестись || вы , младой день ! || друг , насладиться || счастие любовь ! || пусть веселье радость || не напомнить вы , || что отцвести , младость || не приходить вновь . || пусть вы забавлять || Момус и амур ; || счастье день летать || легкий ветерок . || если же воцариться || грусть - злодейка в вы , — || сердце не бояться || в молодой день . || но наступить старость , || не взыграть кровь ; || юный жизнь радость || не приходить вновь . ||"
"#30-26 Огарев, Ночь, 1839","тихо в мой комнатка , || и кругом все спать , || свечка одинокий || предо я гореть . || посмотреть ль в окошечко ― || все темный кругом , || не видать и улица || в сумрак ночной . || звездочка попрятаться , || на небо темный , || туча подернуться || черный оно . || ветер выть жалобно || под мой окно , || и метель суровый || все стучать по он , || страшный я смотреть туда , || в сумрачный даль , || и ложиться на душа || тайный печаль . || тихий в мой комнатка , || и кругом все спать , || свечка одинокий || предо я гореть . ||"
"#30-27 Мятлев, Птичка, 1837","« молодой пташечка , || ты куда лететь ? || ты куда из клеточка , || резвый , спешить ? || беречься , в поле ты || сторожить стрелок , || иль к мальчишка , мочь быть , || попасть в силок . || иль ты вдруг хищный || птица заклевать , || иль среди погодушка || гром ты убить » . || « я лететь на родина , || там гнездо свить , || там весна увидеть я || прежний свой . || в чистый , ясный воздух || быть ликовать , || о свой неволюшка || с песня вспоминать . || не бояться опасность , || гром , ни сеть , || грусть и одиночество || извести скоро . || а когда ударить вдруг || час последний мой , || мысль тот утешиться , || что лететь домой . || за надежда сладкий || смерть заплатить ; || а кто знать , мочь быть , || я и долететь » . || « ну , лететь же , пташечка , || лететь , бог с ты ! || ах ! и я как хотеться || сам домой . || и когда бы крылышко || я твой иметь , || я давно на родина || сам бы улететь » . ||"
"#30-28 Бенедиктов, Дом в цветах, 1839","в роща ненаглядный || здесь чертог перед вы . || камень стена громадный || весь увить цветок : || по столб взбегать , || по карниз виться , || мрамор обнимать , || к позолота жаться ; || расстилаться ткань , || соединить весь краска , || расточать зданье || женственный ласка . || ласка , пасть на камень , || пропадать даром : || из он жар ― пламень || выбить лишь удар . || так - то и на свет || меж человек вестись : || прелесть в пышный цвет || часто к камень жаться ; || цвет , что все милый , || нежный к истукан ; || ластиться лелеять || к пень или чурбан . || тут хоть камень гладкий || щеголь причесать : || там ― посмотреть ― даже || пень тот не отесать . ||"
"#30-29 Траум, Русская песня, 1839","завести я , пташечка , || песенка свой : || песня тот заветный || сердце веселить . || что-то я сгрустнуться || и в душа печаль : || милый друг , прекрасный друг || разлюбить я . || а не он ли клясться я || неизменный быть ? || долго так у нога мой || плакать и рыдать ! || жалкий быть слеза тот , || огненный слово … || то охотно вериться , || кто по сердце мы . || как один короткий миг , || счастье день пройти . || но , в замена ясный день , || на душа печаль ! || завести же , пташечка , || песенка любовь : || томный , сладкий голос твой || друг вспомнить я . ||"
"#30-30 Аноним, Песня инвалида, 1839","чу , тревога грянуть ! || сердце рваться в строй , || так бы вот и кинуться || с супостат в бой , || еще раз отец царь || служба бы сослужить : || много ведь охота быть , || только нет сила ! || молодость изменница || сила унести ; || а картечь турецкий || я костыль дать . || год бы ничто еще ! || да с один нога , || будто конь бракованный , || не годиться я в строй . ||"
"#30-31 Кольцов, Песня, 1839","в непогода ветер || выть , завывать ; || буйный головка || злой грусть терзать , || горемышный доля || нет нигде привет : || до седой волос любовь || душа не согреть . || нет сила ; устать я || с этот горе биться , || а на свет посмотреть ― || жалко с он проститься ! || доля же , мой доля ! || где ты запропасть ? || до пора до время || камень в вода пасть ? || подняться ― что сила || размахнуть крыло : || мочь , наш радость || жить за гора . || если нет , у море || сесть да дождаться ; || без любовь и с горе || жизнь нажиться ! ||"
"#30-32 Кольцов, Русская песня, 1839","без ум , без разум || я замуж выдать , || золотой век девичий || сила укоротать . || для то ли молодость || соблюдать , нежить , || за стекло от солнушко || красота лелеять , || чтобы я век свой замужем || горевать , плакать , || без любовь , без радость || сокрушаться , мучиться ? || говорить родимый : || пожиться ― слюбиться ; || и по сердце выбрать ― || да горько прийтись . || хороший , состариться , || рассуждать , советовать || и с себя молодость || без расчет сравнивать ! ||"
"#30-33 Кольцов, Поэт, 1840","в душа человек || возникать мысль , || как в даль туманный || небесный звезда … || мир быть тайна бог , || бог быть тайна жизнь ; || целый природа ― || в душа человек . || проникнуть чувство , || согреть любовь , || из она весь сила || в образ выходить … || властелин - художник || создавать картина ― || великий драма , || история царство . || в они дух вечный жизнь , || сам себя сознать , || в вид бесконечный || себя проявлять . || и жить столетье , || ум ваш поражать , || над бездушный смерть || вечно торжествовать . || дивный созданье || мысль всемогущий ! || весь мир перед вы || со я исчезать … ||"
"#30-34 Лермонтов, Горные вершины, 1840","горный вершина || спать в тьма ночной ; || тихий долина || полный свежий мгла ; || не пылить дорога , || не дрожать лист … || подождать немного , || отдохнуть и ты . ||"
"#40-01 Кольцов, Сельская песня, 1841","как здоровый да молодой , || без веселье ― веселый ; || без призыв ― счастье || идти отовсюду . || в непогода ветер ― || шапка на макушка ; || проходить , поп , барин , ― || волосок не тронуть ! || только дума , забота || у царь - головка : || погулять по свет , || пожить нараспашке ; || свой удаль - силка || попытать на человек , ― || чтоб не стыдно вспомнить || молодой время ! ||"
"#40-02 Огарев, Дорога, 1841","тускло месяц дальний || светить сквозь туман , || и лежать печально || снежный поляна . || белый с мороз || вдоль путь ряд || тянуться береза || с голый сучок . || тройка мчаться лихо , || колокольчик звонкий ; || напевать тихо || мой ямщик спросонок . || я в кибитка валкий || ехать да тосковать : || скучно я да жалко || сторона родной . ||"
"#40-03 Огарев, Кабак, 1841","выпить , что ли , Ваня , || с холод да с горе ; || говорить , что пьяный || по колено море , || у антон дочь - то || девка молодой : || око голубой , || славный такой ! || да богатый он , Ваня : || наотрез отказать ; || ведь сгореть с стыд , брат , || как на дверь указать . || что я она за пара ? — || скверный избушка . .. || а оброк - то , Ваня , || а кормить старушка ! || выпить , что ли , с горе ? || эх , брат ! да едва ли || бедный за чарка || позабыть печаль ! ||"
"#40-04 Ростопчина, Домашний друг, 1841","быть в глушь далекий , || в сельский сторона , ― || словно у царевна || дедовский время , ― || у я потешник , || сказочник - певец . || у царевна тоже || быть завсегда || карл выписной || из заморский страна , || птица - щебетунья || в клетка золотой . || чем быть карл маленький , || тем дорогой он || при двор цениться ; || птица любить тот , || что все часто петь , || лето и зима . || мой потешник крошка , ― || хоть и даровой , ― || просто невидимка , || как он чудно маленький . || даже и с очко || не сыскать он ! || а петь он , баять , || тешить здесь я || в всякий погода || и в всякий час ; || он всегда радушный , || веселый , говорливый . || солнце ли сиять || в красный , вешний день , || в вечер ли осенний || буря загудеть , ― || я знакомый голос || слышать за угол ! || быль - небылица , || сказка о черт , || сплетня о раздор || ведьма и домовой , ― || вот что зимний вечер || сокращать он . || жизнеописанье || роза и мотылек , || свадебный песня || джинн , резвый фея , ― || вот что в летний полдень || я лепетать он . || все на свет знать || постоялец мой ; || знать , как я вторить , || что развлечь я || в час воспоминанье , || грусть иль хандра … || он наперсник верный || дума и греза мой , || и слеза невольный , || и мечта святой … || он свидетель жизнь || и душа мой ! .. || я к он привыкнуть || и любить он ; || но у мы на свет || все кто угодить ? || так и он , бедняжка , || в дом милый не все … || от враг домашний , || от беда и зло || я он защита , || беречь он ; || в он примета счастье || видеть и хранить ! || кто же мой любимец , || баловень и друг ? .. || ах , смеяться стать , ― || я бояться сказать … || он … кто угадать ? || он ― простой сверчок ! ||"
"#40-05 Павлова, Дума, 1841","грустный ветер веять , || небосклон чернеть , || и луна не сметь || выглянуть из туча ; || и сидеть один я , || мгла кругом густой , || и не утихать || дождь шуметь как ключ . || и в душа уныло || онеметь сила , || грудь тоска стеснить , || и сдаваться я , || будто все напрасно || весь мы просить страстно || что мелькать ясно || манить мы в сон . || будто среди волненье || буйный поколенье || чистый побужденье || не созреть плод ; || будто весь святой || в сердце молодой , || как на дно морской , || даром упасть ! ||"
"#40-06 Губер, Новгород, 1842","время пролететь , || слава прожить , || вече онеметь , || сила отнять . || город воля дикий , || город буйный сила , || новгород великий || тихо опочить . || слава отшуметь , || время протечь , || площадь опустеть , || вече отойти . || вольница избить , || золото свезти , || вече распустить , || колокол снести . || порешить дело . .. || все кругом молчать , || только Волхов смело || о былое шуметь . || белый плакать кровь || о былой бой || и петь с любовь || о старинный день . || путник тихо внимать || песня ярый воля || и опять задремать , || тайный дума полный . ||"
"#40-07 Огарев, Изба, 1842","небо в час дозор || обходить , луна || светить сквозь узор || мерзлый окно . || вечер зимний длиться ; || дедушка в изба || на печь ложиться || и уж спать себе . || помолиться бог , || улечься мать ; || ребенок понемногу || стать засыпать . || только за работа || молодой дочь || бороться с дремота || в весь долгий ночь , || и лучина бледно || перед она гореть . || все в избушка бедный || тишина томить ; || лишь звучать докучно || болтовня один || прялка однозвучный || да веретено . ||"
"#40-08 Ознобишин, Пруд замерз, 1842","что это за чудо , || что за диво стать ; || в середина лето || пруд весь лед сковать ! || где светлогнедой || напоить конь я ? || где наполнить ведро || у ледяной край ? || солнечный денечек || Лайма подарить : || на пруд , от зной || лед весь растворить . || вот теперь гнедой || напоить конь я , || липовый ведро || я налить до край . || у бояр брат || купить гнедой , || с понизовье взять || девица младой . || отчего же шнедой так || из весь ржать мочь ? || отчего у милый || слеза день и ночь ? || конь гнедой , знать , ржать все || о зеленый луг , || а невеста плакать || о далекий друг . ||"
"#40-09 Ознобишин, Сирота, 1842","раз я послать || ягода брать в лесочек , || ягода брать в лесочек , || ягода черничка . || брать она не брать , || ягода я не рвать , || день весь на могила || с грусть прорыдать . || — кто так плакать горько , || надо я стоять ? — || это я , сиротка , || я , дитя родной . || кто я , кто расчесать || шелковый кудри ? || освежить водица || голубой око ? || вымолвить я с ласка || дорогой речь ? || — воротиться домой ты , || воротиться , дочка ! || мать другой кудри || вычесать златой , || освежить водица || око голубой , || вымолвить жених твой || речь дорогой . ||"
"#40-10 Фет, Чудная картина, 1842","чудный картина , || как ты я родной : || белый равнина , || полный луна , || свет небо высокий , || и блестящий снег , || и сани далекий || одинокий бег . ||"
"#40-11 Фет, К жаворонку, 1842","день ли , или вечер , || ранний ли заря ― || только бы невидимо || петь ты над я . || надолго заслушаться || звук с высота , || будто этот песенка || я петь не ты . ||"
"#40-12 Миллер, Очи голубые, 1842","око голубой || девица душа ! || око огневой ! || как вы хороший ! || звезда быть у ночь , || у луг — цветок , || а у милый — око , — || диво красота ! || часто с восхищенье || я на они глядеть , || часто с опасенье || взор их следить : || если же повстречать || взгляд их дорогой , — || сердце заиграть || в радость живой . || к вы лишь , прелесть — око , || мысль лететь мой — || и в мрак ночь , || и при свет день . ||"
"#40-13 Фет, Колыбельная песня сердцу, 1843","сердце ― ты малютка ! || угомон взять … || хоть на миг рассудок || голос внять . || рад принять душа || весь болезнь твой ! || спать , господь с ты , || баюшки-баю ! || не касаться к рана ― || стать подживать ; || не тосковать по няня , || что уйти гулять ; || это только шутка ― || няня ждать свой . || засыпать , малютка , || баюшки-баю ! || а не то другой || нянюшка прийти , || сесть , молодой , || песня запеть : || « посмотреть , родной , || на краса мой , || да уснуть в покой … || баюшки-баю ! » || что же ты повернуться ? || прежний няня жаль ? || знать , опять проснуться || старый печаль ? || знать , пустой скамейка , || даром что петь ? || что же она , злодейка ? || баюшки-баю ! || подождать , вот к лето || стать подрастать , ― || колыбелька этот || надо променять . || я кровать большой || дать ты свой || и свеча задуть . || баюшки-баю ! || и долгий кроватка , || и без няня в она || спаться сладко-сладко || до скончанье день . || перестать биться ― || и навек в рай , ― || только быть сниться : || баюшки-баю ! ||"
"#40-14 Фет, Облаком волнистым, 1843","облако волнистый || пыль вставать вдали ; || конный или пеший ― || не видать в пыль ! || видеть : кто-то скакать || на лихой конь . || друг мой , друг далекий , || вспомнить об я ! ||"
"#40-15 Жадовская, Много капель светлых, 1843","много капля светлый || в синий море падать ; || много искра небесный || человек посылаться . || не из каждый капля || чудно образовываться || светлый жемчужина , || и не в каждый сердце || искра разгораться || пламя живительный ! ||"
"#40-16 Жадовская, Лучший перл таится, 1843","лучший перл таиться || в глубина морской ; || зреть мысль святой || в глубина душа . || надо сильно буря || море взволновать , || что оно , в боренье , || выбросить перл ; || надо сильно чувство || душа потрясти , || чтоб она , в восторг , || выразить мысль . ||"
"#40-17 Губер, Песня, 1843","на душа свободный || много дума лежать , || много в мир холодный || тайный слово упасть . || в мир негде звук || разойтись широко ; || носить злой мука || на душа глубоко . || на зеленый ветка || птичка распевать , ― || в золоченый клетка || птичка замолчать . || я запеть бы смело ― || да не тот я доля : || износиться тело , || уходиться воля . ||"
"#40-18 Огарев, Эмс, 1843","гора спать под дымка || легкий туман , || и волна ленивый || звучно литься лана . || месяц лучезарный || светить на вершина , || тянуться безмолвно || темный долина . || в синева небесный || звезда блистать ясно ; || ветер притаиться , || ночь лежать безгласно . || дума возникать , || да мольба , да греза : || на душа так полно , || что катиться слеза . ||"
"#40-19 Павлова, Огонь, 1844","я ты путь устроить , || проложить я мост , || чтобы в весь я свой || мочь подняться рост . || здесь я маленький и слабый , || спать в зола как царь , || здесь я подлый раб , || там я грозный царь . || подняться могучий , || полететь ретивый , || разрастись до туча , || быть диво диво . ||"
"#40-20 Жадовская, Водяной, 1844","там , где на река || мельница шуметь , || раз я , в вечер тихий , || стук ее колесо || по заря внимать ; || вдруг из струя холодный , || как туман , седой , || над река подняться || дядя - водяной , || борода густой || до колено спустить || и зеленый око || на я уставить . || дух водяной || рассмотреть желать , || я к шумливый речка || подходить близко … || но , всплеснуть струя || и холодный пена || весь я обрызгать , || он исчезнуть в туман ! ||"
"#40-21 Як., Цветок, 1844","на гора Тибет , || где блестеть поток , || пышно распуститься || молодой цветок , — || ночь все так страшно , || мрачно так смотреть , || только над ущелье || звездочка гореть . — || и звезда к цветочек || робкий луч послать , || и в роса небесный || ярко заблистать . — || но подняться солнце , || на звезда взглянуть , || и звезда в сиянье || светло потонуть . || и цветок головка || наклонить с тоска , || и роса с цветочек || брызнуть слеза . || но напрасно солнце || свой разлить свет , || и к цветок послать || радужный привет . || для цветок быть мрачный || солнечный восход ; || и склонить головка || весь звезда он ждать . ||"
"#40-22 Плещеев, Из Рюккерта, 1844","тень гора высокий || на вода лечь ; || потянуться чайка || белый вдали . || тихий все … томленье || дышать грудь мой … || как теперь бы крепко || обнять друг я ! || весело выходить || странник утро в путь ; || но под вечер дома || рад бы отдохнуть . ||"
"#40-23 Щербина, Жизнь, 1844","верить , я бессмертный ! || в атом вселенная || я уж зарождаться , || с вечный жизнь бог , || в божий мысль жить я … || жизненный влага || и пылинка персть || первый день созданье || слить в этот тело … || и ужель не быть || в мир вечный жить я , || с этот вечный мир - || образ всевечный || некрушимый мысль ? || разве зарониться || втуне хоть единый || солнце луч на земля ? || или не возникнуть он , || в она преобразить , || цвет ароматный || в изумрудный лист ? || иль , в дыханье зной , || с чашечка расцвет || не упасть на земля || радужный пыль , || и с земля не слиться || в вечный превращенье ? ||"
"#40-24 Михайлов, Дорога, 1845","черный ветвь || махать я сосна , || тусклый луч || светить я луна , || и как вихрь нестись || тройка через лес . .. || сердце тихо биться . .. || мрачный свод небо , || вторить отклик дальний || песня ямщик , - || будто вздох печальный || я звучать она . || колокол унылый ! || сон напеть ты я , || и край , сердце милый , || видеть я в сон . || видеть дом знакомый , || видеть круг родной , || видеть , будто дома || отдать я покой ; || и в сад заветный || я опять бродить , || вновь в речь приветный || радость находить . .. || но недолго тешить || я чудный сон ; || скоро все умчаться , - || и я пробудить . .. || темный дорога || по лес бежать , || под дуга уныло || колокол звенеть , || мрачно ель кивать || я издалека . .. || сердце замирать , || душа рвать тоска . ||"
"#40-25 Полонский, Утро, 1845","вверх , по недоступный || крутизна вставать || гора , туман восходить || из долина цвести ; || он , как дым , уходить || в небо родной , || в облако свиваться || ярко-золотой ― || и рассеиваться . || луч заря с лазурь || на волна трепетать ; || на восток солнце , || разгораться , блистать . || и сиять утро , || утро молодой … || ты ли это , небо || хмурый , ночной ? || ни единый тучка || на лазурный небо ! || ни единый мысль || о насущный хлеб ! || о , в ответ природа || улыбнуться , от век || обречь скорбь || гений человек ! || улыбнуться природа ! || верить знаменованье ! || нет конец стремленье ― || быть конец страданье ! ||"
"#40-26 Майков, Для чего, 1845","для что , природа , || ты я шептать тайна ? || они в душа так тесно , || и душа неловкий , || тяжелый она с они ! || хотеться иль слово , || иль покорный кисть || снова в мир они кинуть , || с тот же чудный сила , || с тот же чудный блеск , || ничто не скрыть , || и отдать они мир , || как от мир принять ! ||"
"#40-27 Кони, Измена, до 1845","вы я говорить || часто в прошлый лето , || что я любить || много все на свет . || я вы сдуру верить , || увлекаться чувство ; || взор ваш лицемерить || с редкостный искусство . || год пройти ― найти вы , || что уж старый я очень , || что глаз не живой , || жар любовь непрочный . || кстати ли участье || к жалкий калека ? || и найти вы счастье || в дюжий человек . || он так полный страсть , || Геркулес по сила , || говорить все сласть || с увлеченье милый ; || все на он с иголка , || стройный , бакенбарда || словно два метелка ― || хоть в кавалергард ! || страсть свой слеза || вылить в жаркий сцена , || стоять перед вы || на один колено . || в брак готовый , сердечный … || лестный картина ! || стоить уж , конечно , || выделка овчина . || весело смеяться || над судьба комичный || быть бы , мочь статься , || кстати и приличный … || а я , дурень , плакать || и крушиться не в мера , || что я с вы тратить || в ум и в душа вера . ||"
"#40-28 Дуров, Шекспир, 1845","не глядеть на солнце || лето , в яркий полдень , || если бог не дать || око взор орлиный , || если ты заране || знать , что от блеск || пламенный солнце || потерять зренье . || не читать шекспир , || если ты бояться || глубоко проникнуть || в тайна роковой || бытие земной , || если ты не хотеть || разгадать движенье || сердце человек … ||"
"#40-29 Аскоченский, Звезды, 1845","небо голубой || убраться звезда : || хотеться узнать я , || что это за звезда . || дивный красота их , || и число они нет , || мера и рост || меж себя несхожий . || для какой же цель || звезда разбежаться , || будто бы играть , || в бездна беспредельный ? || кто в они обитать — || ангел ль господень , || душа ли отойти , || аль иной тварь ? || знать ли там радость , || ведать ли горе ? || тот ж ли там забота , || как у мы у грешный ? || знать ли жилец там || бедствие паденье ? || быть ли для они там || дело искупленье ? || темный , непонятный || хитрый наука || слать ответ я смелый , || разум изумлять . || но вопрос не тронуть , — || и сомненье в сердце || голос тревожный || дума порождать . ||"
"#40-30 Аскоченский, Тайну неземную, 1845","тайна не земной || я хотеть уведать : || но никто не мочь я || тайна тот поведать . || где тот путь — дорога , || по который душа , || с тело разрешиться , || идти не возвратно ? || и куда приходить ? || как там пребывать ? || помнить ли они мы , || иль уже забыть ? || слышать ли , как мы здесь || плакать и горевать || с песня над они : ||"
"#40-31 Аскоченский, Идем путем вечности, 1845","идти путь вечность || с глава поникнуть , || словно осудить || и дума печальный || мучить душа грешный . || где мирской прелесть ? || где наш сокровище ? || где заслуга светский , || честь и достоинство ? || нет от они мы помощь ; || только и отрада мы , || что в слово божественный || псалом покаянный : ||"
"#40-32 Аскоченский, Плачет и горюет, 1845","плакать и горевать || сирота над гроб : || но пора проходить , — || и больной сердце || рана заживать , || и друг отойти || словно не бывать . || а ведь быть же время , || что над гроб друг , || плакать и рыдать , || петь мы сквозь слеза || слово неземной : ||"
"#40-33 Берг, Песня под Вышеградом, 1845","эй ты солнце наш , || — вышеград великий , || что стоять высоко || твердый твердыня , || твердый твердыня , || страх супостат ! || под ты речка || быстрый волна катить , || под тобой речка || ярый Влетава . || близко тот Влетава , || тот Влетава чистый , || вырасти дубрава , || летний прохлада . || весело там песня || соловей заводить , || весело и смутно , || как он сердечко || сказать и приказать . || ах , зачем не пташка || я — не соловейко : || полететь бы в поле , || там , в широкий поле , || вечер поздно || милый гулять . || не любовь ли будить || все , кто жизнь дышать ? || не любовь ли править || горе и веселье ? || вот и я , бедняга , || выпасти на доля … ||"
"#40-34 Костров, Бойкий ответ, 1845","вчера его матушка || с сердце я сказать , || чтобы я ее сын || скорее забывать . || а я она сказать || на тот ее ласка , || чтобы привязать || сын на привязка . || сын на привязка , || на лента широкий — || пускай он не ходить || к я черноокий . ||"
"#40-35 Некрасов, Русская песня, 1846","« что не веселый , Ваня ? || в хоровод не встать ? || шапка не заломить ? || песня не затянуть ? || аль не снести , не добыть || барин оброк ? || подать казенный || не преставить к срок ? || аль набор рекрутский || молодец кручинить ― || угодить бояться || под красный шапка ? || аль душа - девица , || что прежде любить , || с недруг спознаться ? || Ванька изменить ? » || ― « оброк и с гостинец || барин преставить ; || подать казенный || за я ни алтын ; || не бояться рекрутство ― || брат пойти охота ; || а душа - девица || я не изменять ― || да она - то , братец , || сроду не бывать ! » ||"
"#40-36 Майков, Думал я, 1846","думать я , что небо || ясный полдень , || сень олива и мирт , || музыкальный голос , || жаркий лобзанье || жена высокогрудый || исцелить недуг || страждать сердце ; || думать я , что сила || строгий искусство , || вековой почва ― || прах святой герой , || хоть забвенье сладкий || на душа повеять ; || что в она хоть замолкнуть || жажда теплый вера || и безверье мука , || жажда дело высокий || и тоска бессилье ; || разум гаданье , || и над он насмешка … || за порыв восторг || платить горький мука : || старый проснуться || прежний острый , || как хозяйка злой , || за один взгляд беглый || на краса чужой , || встретить брань зло , || старый припомнить || и язвить , и колоть … || хоть бежать с свет ! ||"
"#40-37 Майков, Анахорет, 1846","двадцать год в пустыня , || на скала я прожить , || выше туча , туман || и гром , и молния . || изгнать из мир , || в гнев мир я бросить , || но забыть с он трудный || порвать связь . || и когда вдруг солнце || облако разогнать , || город в долина || заблестеть как искра , || я на мысль приходить ― || в двадцать год , быть мочь , || все давно свершиться , || из что я биться : || бедный свергнуть оковы ; || сильный и прекрасный , || разум и воля || племя земной … || снова к они пойти бы … || ну , а если в человек || самый преданье || о добро исчезнуть ? || и мой они речь || быть непонятный , || и они от старец || отойти с смех ? ||"
"#40-38 Григорьев, С тайною тоскою, 1846","с тайный тоска , || смертный тоска , || я перед ты , || светлый ангел мой . || пусть сиять счастье || я в око твой , || полный сладострастье , || томно-голубой . || пусть душа тонуть я || в этот влага глаз , || все же я тосковать || за оба мы . || пусть журчать струя || детский лепет твой , || в грудь мой тоска || литься он один . || не тоска стремленье , || не святой слеза , || не слезай моленье ― || грешный хула . || тщетно на распятье || обратить мой взор ― || на уста проклятье , || на душа укор . ||"
"#40-39 Щербина, Чем я больше знаю, 1846","чем я много знать , ― || много знать я жаждать ; || в правда почивать , || под сомненье страждать . || теплота дыханье || истина вселиться || в тело мирозданье , || тайно в он сокрыться . || счастье в она таиться ― || наш цель от век : || страстно к она стремиться || помысл человек … || бесконечность ― знать ― || жизнь не измерить ; || все же она питать , ― || верить и не верить … || дух совершенство , || без граница познанье ― || вот мой блаженство , || вот мой страданье ! ||"
"#40-40 Миллер, Ручей, 1846","вечер догорать , || ясный небо ; || сумрак одевать || гора и лес . || лишь поток игривый , || с скала крутой , || литься , говорливый , || в тишина ночной . || чу ! с далекий башня || колокол гудеть , — || и на отдых с пашня || селянин спешить . || кончить труд тяжелый , || он идти домой ; || там , в семья веселый , || ждать он покой . || в тишина счастливый || весь природа спать ; || лишь поток бурливый || плескать и кипеть ; || выть беспрерывно || меж угрюмый скала : || не он призывный || колокол звучать ! || так , в борьба с тоска || сердце — что ручей ! || нет он покой || в тишина ночь ! ||"
"#40-41 Жадовская, Совет, 1846","в час , когда , волноваться , || суетный страсть || душа помрачать , || к небо лазурный || равнодушный взор || ты не устремлять : || не найти ответ , || не найти отрада — || быть лишь укор || небо чистота : || звезда золотой || на ты посмотреть || грустно , неприветно ; || метеор огнистый || горький мечтанье , || тяжкий сомненье || в сердце зародить ! ||"
"#40-42 Жадовская, Что так неожиданно, 1846","что так неожиданно || взор твой оживленный , || и такой невиданный || нежность зажечь ? || что ты повеять ? || иль былое , друг , || что мы так лелеять , || пробудиться вдруг ? || иль ты вновь видеться || ароматный сад ? || или , снова , слышаться , || как древо шуметь , || как заводить сладостно || песня соловей — || и светлый и радостный || на душа твой ? || будто ожидать ты || снова сладкий встреча , || будто , вновь , внимать ты || чудный тот речь … || и , всесильный власть , || душа у ты || охватить страсть || вновь любовь змея ? ||"
"#40-43 Жадовская, Русалка, 1846","робко к речка девушка || подойти с венок || и гадать - думать : || поплыть , иль нет ? || и веночек трепетно || поднести к вода . || вдруг русалка резвый || ручка белоснежный , || ничто не думать , || унести венок . || и напрасно девушка || с тайный ожидание || на вода глядеть : || солнце золотой в она || чудно отражаться — || будто бы другой в она || небо красоваться , || но веночек нет , как нет ! || и печально голова || преклонить к грудь , || вот , садиться девушка || на берег крутой : || омрачиться скорбь || ясный глаз || и алмаз чистый в они || светиться слеза ; || у другой же берег || в тростник густой || голова виднеться || с ивовый венок — || кудри золотистый || тихо ветер струить || и холодный взор око || радость блестеть ; || солнце отражаться || в голубой река || и смеяться с злоба || голова в венок . ||"
"#40-44 Аскоченский, Кручина, 1846","легкий молвить слово , || да не легкий дело : || не разносить ветер || что в душа засесть . || кто сам себя не друг , || чтобы жить с кручина ? || кто сам себя мучить || дума беспричинный ? || из-за лес зорька || тихо вылетать , || над дремучий лес || солнце поджидать . || но потухнуть зорька || ранний пора , || солнце не дождаться , || всплакаться роса . || красавица — зорька || туча заслонить ; || молодец с девица || человек разлучить . || туча ветер разогнать — || солнышко проглянуть ; || но заря родимый || солнце не застать . || и пойти сиротка || оно одиноко || по степь небесный , || по степь широкий . || и к закат близиться , || всплакаться роса , || и уйти за гора || горький сирота . ||"
